used_feature
manufacturer_group
car_size
body_panel_top_damage_ratio_max
breakage_area_ratio_sum
breakage_body_panel_top_overlap_ratio_max
breakage_bumper_overlap_ratio_max
breakage_glass_and_light_overlap_ratio_max
breakage_side_panel_overlap_ratio_max
breakage_wheels_overlap_ratio_max
bumper_damage_ratio_max
crushed_area_ratio_sum
crushed_body_panel_top_overlap_ratio_max
crushed_bumper_overlap_ratio_max
crushed_glass_and_light_overlap_ratio_max
crushed_side_panel_overlap_ratio_max
crushed_wheels_overlap_ratio_max
glass_and_light_damage_ratio_max
scratched_area_ratio_sum
scratched_body_panel_top_overlap_ratio_max
scratched_bumper_overlap_ratio_max
scratched_glass_and_light_overlap_ratio_max
scratched_side_panel_overlap_ratio_max
scratched_wheels_overlap_ratio_max
separated_area_ratio_sum
separated_body_panel_top_overlap_ratio_max
separated_bumper_overlap_ratio_max
separated_glass_and_light_overlap_ratio_max
separated_side_panel_overlap_ratio_max
separated_wheels_overlap_ratio_max
side_panel_damage_ratio_max
total_damage_area_ratio_sum
wheels_damage_ratio_max
main_damage_type
main_damaged_part
damage_type_count
bumper_damaged
body_panel_top_damaged
side_panel_damaged
glass_and_light_damaged
wheels_damaged
damaged_part_count
severe_damage_ratio
breakage_ratio_in_damage
crushed_ratio_in_damage
bumper_replace_risk
glass_light_replace_risk
